Journal name,ISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
EAR AND HEARING,1538-4667,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,7712,3.57,Q1,1.78,10.69%
Trends in Hearing,2331-2165,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,1075,3.293,Q1,1.39,100%
HEARING RESEARCH,1878-5891,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,11475,3.208,Q1,1.39,16.53%
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,1460-6984,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,3291,3.02,Q1,1.32,12.55%
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,1558-9129,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,2595,2.983,Q1,1.5,4.48%
APHASIOLOGY,1464-5041,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,4157,2.773,Q1,1.03,5%
JOURNAL OF FLUENCY DISORDERS,1873-801X,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,1497,2.538,Q2,1.34,4.17%
International Journal of Speech-Language Pathology,1754-9515,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,1853,2.484,Q2,1.3,6.99%
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1558-9110,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,3908,2.408,Q2,1.18,4.28%
BRAIN AND LANGUAGE,1090-2155,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,7432,2.381,Q2,1.2,10.95%
Language Cognition and Neuroscience,2327-3801,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,1510,2.331,Q2,0.93,12.98%
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1558-9102,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,11095,2.297,Q2,1.27,8.71%
JOURNAL OF COMMUNICATION DISORDERS,1873-7994,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,2694,2.288,Q2,1.01,6.79%
Augmentative and Alternative Communication,1477-3848,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,1308,2.214,Q3,1.25,7.69%
INTERNATIONAL JOURNAL OF AUDIOLOGY,1708-8186,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,4864,2.117,Q3,0.95,16.67%
JOURNAL OF VOICE,1873-4588,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,6868,2.009,Q3,0.88,1.44%
AUDIOLOGY AND NEURO-OTOLOGY,1421-9700,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,2463,1.854,Q3,0.68,21.31%
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,1520-8524,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,49404,1.84,Q3,0.8,7.52%
SEMINARS IN SPEECH AND LANGUAGE,1098-9056,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,997,1.761,Q3,0.62,0%
PHONETICA,1423-0321,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,806,1.759,Q3,1.15,10.87%
Journal of the American Academy of Audiology,2157-3107,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,2878,1.664,Q4,0.81,0%
LANGUAGE AND SPEECH,1756-6053,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,1577,1.5,Q4,0.83,11.51%
American Journal of Audiology,1558-9137,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,1319,1.493,Q4,0.8,5.15%
Logopedics Phoniatrics Vocology,1651-2022,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,566,1.487,Q4,0.64,16.84%
CLINICAL LINGUISTICS & PHONETICS,1464-5076,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,1876,1.346,Q4,0.86,5.74%
Noise & Health,1998-4030,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,1564,0.867,Q4,0.43,100%
FOLIA PHONIATRICA ET LOGOPAEDICA,1421-9972,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,1336,0.849,Q4,0.4,4.50%
TRENDS IN COGNITIVE SCIENCES,1879-307X,BEHAVIORAL SCIENCES - SCIE,33482,20.229,Q1,2.12,21.15%
BEHAVIORAL AND BRAIN SCIENCES,1469-1825,BEHAVIORAL SCIENCES - SCIE,11610,12.579,Q1,2.99,0%
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,1873-7528,BEHAVIORAL SCIENCES - SCIE,36525,8.989,Q1,1.34,16.67%
Autism Research,1939-3806,BEHAVIORAL SCIENCES - SCIE,5700,5.216,Q1,1.42,13.73%
Current Opinion in Behavioral Sciences,2352-1554,BEHAVIORAL SCIENCES - SCIE,3724,4.466,Q1,0.64,15.86%
EVOLUTION AND HUMAN BEHAVIOR,1879-0607,BEHAVIORAL SCIENCES - SCIE,5376,4.178,Q1,1.29,8.94%
CORTEX,1973-8102,BEHAVIORAL SCIENCES - SCIE,13326,4.027,Q1,1.17,15.30%
APPETITE,1095-8304,BEHAVIORAL SCIENCES - SCIE,23036,3.868,Q1,1.12,7.31%
Advances in the Study of Behavior,2162-8823,BEHAVIORAL SCIENCES - SCIE,1357,3.818,Q1,0.55,0%
Behavioral and Brain Functions,1744-9081,BEHAVIORAL SCIENCES - SCIE,1843,3.759,Q1,0.83,100%
JOURNAL OF ECT,1533-4112,BEHAVIORAL SCIENCES - SCIE,2177,3.635,Q1,0.79,2.11%
HORMONES AND BEHAVIOR,1095-6867,BEHAVIORAL SCIENCES - SCIE,12125,3.587,Q1,0.95,3.66%
Frontiers in Behavioral Neuroscience,1662-5153,BEHAVIORAL SCIENCES - SCIE,9314,3.558,Q1,0.79,100%
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,1873-5177,BEHAVIORAL SCIENCES - SCIE,13378,3.533,Q2,0.87,3.58%
STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,1607-8888,BEHAVIORAL SCIENCES - SCIE,3588,3.493,Q2,0.86,6.15%
GENES BRAIN AND BEHAVIOR,1601-183X,BEHAVIORAL SCIENCES - SCIE,4424,3.449,Q2,0.97,14.61%
BEHAVIOURAL BRAIN RESEARCH,1872-7549,BEHAVIORAL SCIENCES - SCIE,30620,3.332,Q2,1,5.94%
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,1531-135X,BEHAVIORAL SCIENCES - SCIE,4875,3.282,Q2,0.86,26.62%
BIOLOGICAL PSYCHOLOGY,1873-6246,BEHAVIORAL SCIENCES - SCIE,11776,3.251,Q2,1,5.58%
PHYSIOLOGY & BEHAVIOR,1873-507X,BEHAVIORAL SCIENCES - SCIE,25223,3.244,Q2,1.04,6.14%
CHEMICAL SENSES,1464-3553,BEHAVIORAL SCIENCES - SCIE,5825,3.16,Q2,0.73,10.31%
NEUROPSYCHOLOGIA,1873-3514,BEHAVIORAL SCIENCES - SCIE,28496,3.139,Q2,0.98,12.85%
BEHAVIORAL MEDICINE,1940-4026,BEHAVIORAL SCIENCES - SCIE,1318,3.104,Q2,0.82,0%
ANIMAL COGNITION,1435-9456,BEHAVIORAL SCIENCES - SCIE,4359,3.084,Q2,1.46,27.39%
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,1432-0762,BEHAVIORAL SCIENCES - SCIE,13887,2.98,Q2,0.99,18.47%
EPILEPSY & BEHAVIOR,1525-5069,BEHAVIORAL SCIENCES - SCIE,14990,2.937,Q2,0.79,7.41%
AGGRESSIVE BEHAVIOR,1098-2337,BEHAVIORAL SCIENCES - SCIE,4618,2.917,Q3,1,13.99%
HUMAN FACTORS,1547-8181,BEHAVIORAL SCIENCES - SCIE,7807,2.888,Q3,0.92,13.56%
NEUROBIOLOGY OF LEARNING AND MEMORY,1095-9564,BEHAVIORAL SCIENCES - SCIE,8141,2.877,Q3,0.96,9.41%
ANIMAL BEHAVIOUR,1095-8282,BEHAVIORAL SCIENCES - SCIE,29231,2.844,Q3,1.32,6.86%
BEHAVIOR GENETICS,1573-3297,BEHAVIORAL SCIENCES - SCIE,3306,2.805,Q3,0.81,30.89%
Frontiers in Integrative Neuroscience,1662-5145,BEHAVIORAL SCIENCES - SCIE,2795,2.763,Q3,0.62,100%
Brain and Behavior,2162-3279,BEHAVIORAL SCIENCES - SCIE,4239,2.708,Q3,0.7,100%
BEHAVIORAL ECOLOGY,1465-7279,BEHAVIORAL SCIENCES - SCIE,11428,2.671,Q3,1.03,9.59%
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,2329-8464,BEHAVIORAL SCIENCES - SCIE,2309,2.478,Q3,0.83,4.95%
JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,1938-3711,BEHAVIORAL SCIENCES - SCIE,4719,2.468,Q3,0.75,1.83%
APPLIED ANIMAL BEHAVIOUR SCIENCE,1872-9045,BEHAVIORAL SCIENCES - SCIE,12482,2.448,Q3,1.14,7.16%
Language Cognition and Neuroscience,2327-3801,BEHAVIORAL SCIENCES - SCIE,1510,2.331,Q3,0.93,12.98%
BEHAVIOURAL PHARMACOLOGY,1473-5849,BEHAVIORAL SCIENCES - SCIE,3004,2.293,Q3,0.57,1.34%
JOURNAL OF COMPARATIVE PSYCHOLOGY,1939-2087,BEHAVIORAL SCIENCES - SCIE,3202,2.231,Q4,0.82,0%
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,1536-7312,BEHAVIORAL SCIENCES - SCIE,5382,2.225,Q4,0.78,0.40%
BEHAVIOUR,1568-539X,BEHAVIORAL SCIENCES - SCIE,6011,1.991,Q4,0.67,16.05%
LEARNING & BEHAVIOR,1543-4508,BEHAVIORAL SCIENCES - SCIE,1074,1.986,Q4,0.55,17.24%
Journal of Veterinary Behavior-Clinical Applications and Research,1878-7517,BEHAVIORAL SCIENCES - SCIE,1985,1.975,Q4,1.1,5.51%
BEHAVIORAL NEUROSCIENCE,1939-0084,BEHAVIORAL SCIENCES - SCIE,6881,1.912,Q4,0.6,1.24%
ETHOLOGY,1439-0310,BEHAVIORAL SCIENCES - SCIE,5157,1.897,Q4,0.67,10.09%
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,1432-1351,BEHAVIORAL SCIENCES - SCIE,5887,1.836,Q4,0.65,25.88%
BRAIN BEHAVIOR AND EVOLUTION,1421-9743,BEHAVIORAL SCIENCES - SCIE,2743,1.808,Q4,0.78,7.46%
BEHAVIOURAL PROCESSES,1872-8308,BEHAVIORAL SCIENCES - SCIE,5880,1.777,Q4,0.87,4.86%
Cognitive and Behavioral Neurology,1543-3641,BEHAVIORAL SCIENCES - SCIE,923,1.6,Q4,0.37,3.85%
ETHOLOGY ECOLOGY & EVOLUTION,1828-7131,BEHAVIORAL SCIENCES - SCIE,1168,1.321,Q4,0.58,0.69%
JOURNAL OF ETHOLOGY,1439-5444,BEHAVIORAL SCIENCES - SCIE,989,1.27,Q4,0.64,22.73%
ACTA ETHOLOGICA,1437-9546,BEHAVIORAL SCIENCES - SCIE,562,1.231,Q4,0.57,14.29%
Nature Reviews Cardiology,1759-5010,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,11539,32.419,Q1,4.61,1.88%
EUROPEAN HEART JOURNAL,1522-9645,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,81447,29.983,Q1,5.77,27.55%
CIRCULATION,1524-4539,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,190210,29.69,Q1,6.16,15.19%
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1558-3597,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,125873,24.094,Q1,4.75,13.55%
CIRCULATION RESEARCH,1524-4571,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,65425,17.367,Q1,3.54,12.65%
BASIC RESEARCH IN CARDIOLOGY,1435-1803,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,5629,17.165,Q1,2.85,39.62%
EUROPEAN JOURNAL OF HEART FAILURE,1879-0844,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,17114,15.534,Q1,3.17,26.53%
JACC-Cardiovascular Imaging,1876-7591,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,14398,14.805,Q1,3.41,10.02%
JAMA Cardiology,2380-6591,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,11453,14.676,Q1,3.1,6.18%
JACC-Heart Failure,2213-1787,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,6212,12.035,Q1,2.4,12%
JACC-Cardiovascular Interventions,1876-7605,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,15448,11.195,Q1,2.19,6.58%
CARDIOVASCULAR RESEARCH,1755-3245,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,26765,10.787,Q1,2.09,22.77%
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1557-3117,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,15107,10.247,Q1,2.34,4.94%
Cardiovascular Diabetology,1475-2840,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,8782,9.951,Q1,1.81,100%
Circulation-Heart Failure,1941-3297,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,9005,8.79,Q1,1.67,4.25%
JACC-Basic to Translational Science,2452-302X,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,1842,8.648,Q1,1.49,100%
PROGRESS IN CARDIOVASCULAR DISEASES,1873-1740,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,5799,8.194,Q1,1.21,6.01%
European Journal of Preventive Cardiology,2047-4881,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,8287,7.804,Q1,1.49,10.12%
Circulation-Cardiovascular Imaging,1942-0080,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,7640,7.792,Q1,1.7,9.63%
European Heart Journal-Cardiovascular Imaging,2047-2412,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,8423,6.875,Q1,1.61,9.66%
TRENDS IN CARDIOVASCULAR MEDICINE,1873-2615,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,3542,6.677,Q1,1.31,21.19%
European Heart Journal-Cardiovascular Pharmacotherapy,2055-6845,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,919,6.617,Q1,1.51,13.58%
Circulation-Arrhythmia and Electrophysiology,1941-3084,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,8834,6.568,Q1,1.38,9.22%
Circulation-Cardiovascular Interventions,1941-7632,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,6530,6.546,Q1,1.35,7.57%
EuroIntervention,1969-6213,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,7160,6.534,Q1,1.15,0%
JACC-Clinical Electrophysiology,2405-5018,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,2801,6.375,Q1,1.31,10.72%
HEART RHYTHM,1556-3871,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,16459,6.343,Q1,1.52,8.22%
JACC: CardioOncology,2666-0873,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,267,6.25,Q1,1.16,100%
Circulation-Genomic and Precision Medicine,2574-8300,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,858,6.054,Q1,1.19,25.26%
Frontiers in Cardiovascular Medicine,2297-055X,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,3172,6.05,Q1,0.92,100%
HEART,1468-201X,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,22182,5.994,Q1,1.33,22.22%
JOURNAL OF NUCLEAR CARDIOLOGY,1532-6551,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,5882,5.952,Q1,0.95,15.17%
Circulation-Cardiovascular Quality and Outcomes,1941-7713,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,6318,5.882,Q1,1.16,6.34%
JOURNAL OF CARDIAC FAILURE,1532-8414,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,6604,5.712,Q1,0.97,5.45%
Journal of the American Heart Association,2047-9980,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,26960,5.501,Q1,1.14,100%
Clinical Research in Cardiology,1861-0692,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,5218,5.46,Q2,1.22,28.92%
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,1532-429X,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,6935,5.364,Q2,1.44,100%
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,0894-7317,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,14150,5.251,Q2,1.31,5.51%
CANADIAN JOURNAL OF CARDIOLOGY,1916-7075,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,8782,5.223,Q2,0.98,4.07%
EUROPACE,1532-2092,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,12468,5.214,Q2,1.19,0%
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,1097-685X,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,33066,5.209,Q2,1.4,4.05%
CURRENT PROBLEMS IN CARDIOLOGY,1535-6280,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,965,5.2,Q2,0.54,2.22%
ATHEROSCLEROSIS,1879-1484,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,27929,5.162,Q2,1.06,15.08%
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,1095-8584,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,17399,5,Q2,0.94,15.80%
REVISTA ESPANOLA DE CARDIOLOGIA,1579-2242,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,4507,4.753,Q2,0.83,0%
AMERICAN HEART JOURNAL,1097-5330,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,22202,4.749,Q2,1.11,12.19%
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,1522-1539,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,30771,4.733,Q2,1.1,3.27%
European Heart Journal-Acute Cardiovascular Care,2048-8734,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,2238,4.696,Q2,1.07,6.95%
ESC Heart Failure,2055-5822,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,2303,4.411,Q2,0.9,100%
European Heart Journal-Quality of Care and Clinical Outcomes,2058-1742,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,777,4.37,Q2,0.9,11.71%
ANNALS OF THORACIC SURGERY,1552-6259,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,41620,4.33,Q2,1.18,0.34%
Journal of Cardiovascular Computed Tomography,1934-5925,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,2352,4.309,Q2,1,4.62%
